trip_id,realtime_trip_id
6511323-CT-17APR-Caltrain-Saturday-01,422
6511324-CT-17APR-Caltrain-Saturday-01,424
6511325-CT-17APR-Caltrain-Saturday-01,426
6511326-CT-17APR-Caltrain-Saturday-01,428
6511327-CT-17APR-Caltrain-Saturday-01,430
6511328-CT-17APR-Caltrain-Saturday-01,432
6511329-CT-17APR-Caltrain-Saturday-01,434
6511330-CT-17APR-Caltrain-Saturday-01,436
6511331-CT-17APR-Caltrain-Saturday-01,438
6511332-CT-17APR-Caltrain-Saturday-01,440
6511333-CT-17APR-Caltrain-Saturday-01,442
6511334-CT-17APR-Caltrain-Saturday-01,444
6511335-CT-17APR-Caltrain-Saturday-01,446
6511336-CT-17APR-Caltrain-Saturday-01,448
6511337-CT-17APR-Caltrain-Saturday-01,423
6511338-CT-17APR-Caltrain-Saturday-01,425
6511339-CT-17APR-Caltrain-Saturday-01,427
6511340-CT-17APR-Caltrain-Saturday-01,429
6511341-CT-17APR-Caltrain-Saturday-01,431
6511342-CT-17APR-Caltrain-Saturday-01,433
6511343-CT-17APR-Caltrain-Saturday-01,435
6511344-CT-17APR-Caltrain-Saturday-01,437
6511345-CT-17APR-Caltrain-Saturday-01,439
6511346-CT-17APR-Caltrain-Saturday-01,441
6511347-CT-17APR-Caltrain-Saturday-01,443
6511348-CT-17APR-Caltrain-Saturday-01,445
6511349-CT-17APR-Caltrain-Saturday-01,447
6511350-CT-17APR-Caltrain-Saturday-01,449
6511351-CT-17APR-Caltrain-Saturday-01,801
6511352-CT-17APR-Caltrain-Saturday-01,803
6511353-CT-17APR-Caltrain-Saturday-01,802
6511354-CT-17APR-Caltrain-Saturday-01,804
6511355-CT-17APR-Caltrain-Saturday-01,450
6511356-CT-17APR-Caltrain-Saturday-01,454
6511357-CT-17APR-Caltrain-Saturday-01,421
6511358-CT-17APR-Caltrain-Saturday-01,451
6511391-CT-17APR-Caltrain-Saturday-01,30
6511392-CT-17APR-Caltrain-Saturday-01,31
6511393-CT-17APR-Caltrain-Saturday-01,32
6511394-CT-17APR-Caltrain-Saturday-01,33
6511395-CT-17APR-Caltrain-Saturday-01,34
6511396-CT-17APR-Caltrain-Saturday-01,35
6511397-CT-17APR-Caltrain-Saturday-01,36
6511398-CT-17APR-Caltrain-Saturday-01,37
6511399-CT-17APR-Caltrain-Saturday-01,38
6511400-CT-17APR-Caltrain-Saturday-01,39
6511401-CT-17APR-Caltrain-Saturday-01,40
6511402-CT-17APR-Caltrain-Saturday-01,41
6511403-CT-17APR-Caltrain-Saturday-01,42
6511404-CT-17APR-Caltrain-Saturday-01,44
6511405-CT-17APR-Caltrain-Saturday-01,43
6511406-CT-17APR-Caltrain-Saturday-01,29
6511407-CT-17APR-Caltrain-Saturday-01,45
6511408-CT-17APR-Caltrain-Saturday-01,46
6511409-CT-17APR-Caltrain-Saturday-01,47
6511410-CT-17APR-Caltrain-Saturday-01,49
6511411-CT-17APR-Caltrain-Saturday-01,50
6511412-CT-17APR-Caltrain-Saturday-01,51
6511413-CT-17APR-Caltrain-Saturday-01,52
6511414-CT-17APR-Caltrain-Saturday-01,53
6511415-CT-17APR-Caltrain-Saturday-01,54
6511416-CT-17APR-Caltrain-Saturday-01,56
6511417-CT-17APR-Caltrain-Saturday-01,57
6511418-CT-17APR-Caltrain-Saturday-01,58
6511419-CT-17APR-Caltrain-Saturday-01,59
6511359-CT-17APR-Caltrain-Sunday-01,422u
6511360-CT-17APR-Caltrain-Sunday-01,424u
6511361-CT-17APR-Caltrain-Sunday-01,426u
6511362-CT-17APR-Caltrain-Sunday-01,428u
6511363-CT-17APR-Caltrain-Sunday-01,430u
6511364-CT-17APR-Caltrain-Sunday-01,432u
6511365-CT-17APR-Caltrain-Sunday-01,434u
6511366-CT-17APR-Caltrain-Sunday-01,436u
6511367-CT-17APR-Caltrain-Sunday-01,438u
6511368-CT-17APR-Caltrain-Sunday-01,440u
6511369-CT-17APR-Caltrain-Sunday-01,442u
6511370-CT-17APR-Caltrain-Sunday-01,444u
6511371-CT-17APR-Caltrain-Sunday-01,446u
6511372-CT-17APR-Caltrain-Sunday-01,448u
6511373-CT-17APR-Caltrain-Sunday-01,423u
6511374-CT-17APR-Caltrain-Sunday-01,425u
6511375-CT-17APR-Caltrain-Sunday-01,427u
6511376-CT-17APR-Caltrain-Sunday-01,429u
6511377-CT-17APR-Caltrain-Sunday-01,431u
6511378-CT-17APR-Caltrain-Sunday-01,433u
6511379-CT-17APR-Caltrain-Sunday-01,435u
6511380-CT-17APR-Caltrain-Sunday-01,437u
6511381-CT-17APR-Caltrain-Sunday-01,439u
6511382-CT-17APR-Caltrain-Sunday-01,441u
6511383-CT-17APR-Caltrain-Sunday-01,443u
6511384-CT-17APR-Caltrain-Sunday-01,445u
6511385-CT-17APR-Caltrain-Sunday-01,447u
6511386-CT-17APR-Caltrain-Sunday-01,449u
6511387-CT-17APR-Caltrain-Sunday-01,801u
6511388-CT-17APR-Caltrain-Sunday-01,803u
6511389-CT-17APR-Caltrain-Sunday-01,802u
6511390-CT-17APR-Caltrain-Sunday-01,804u
6511391-CT-17APR-Caltrain-Sunday-01,30u
6511392-CT-17APR-Caltrain-Sunday-01,31u
6511393-CT-17APR-Caltrain-Sunday-01,32u
6511394-CT-17APR-Caltrain-Sunday-01,33u
6511395-CT-17APR-Caltrain-Sunday-01,34u
6511396-CT-17APR-Caltrain-Sunday-01,35u
6511397-CT-17APR-Caltrain-Sunday-01,36u
6511398-CT-17APR-Caltrain-Sunday-01,37u
6511399-CT-17APR-Caltrain-Sunday-01,38u
6511400-CT-17APR-Caltrain-Sunday-01,39u
6511401-CT-17APR-Caltrain-Sunday-01,40u
6511402-CT-17APR-Caltrain-Sunday-01,41u
6511403-CT-17APR-Caltrain-Sunday-01,42u
6511404-CT-17APR-Caltrain-Sunday-01,44u
6511405-CT-17APR-Caltrain-Sunday-01,43u
6511406-CT-17APR-Caltrain-Sunday-01,29u
6511407-CT-17APR-Caltrain-Sunday-01,45u
6511408-CT-17APR-Caltrain-Sunday-01,46u
6511409-CT-17APR-Caltrain-Sunday-01,47u
6511410-CT-17APR-Caltrain-Sunday-01,49u
